,id,artist,title,album,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2759,5jltuTtGHfoAIm50qlXEOq,Einstein Study Music Academy,Calm Meditation Music,"Studying Music: Piano Music to Make You Smarter, Vol. 5",22,0.241,0.00188,2.0,-44.455,0.0,0.0516,0.986,0.961,0.0506,0.0997,78.368,141061.0,5.0
2760,5YYeYNFaBNEJxL08dTp1Mb,Einstein Study Music Academy,Music for Anxiety,"Studying Music: Piano Music to Make You Smarter, Vol. 5",22,0.491,0.00216,9.0,-41.766,0.0,0.0726,0.99,0.982,0.0796,0.138,59.95,106553.0,4.0
2761,4Ia9otvGPMqZBXyn1i0LE9,Einstein Study Music Academy,Soothing Piano for Study Music,"Studying Music: Piano Music to Make You Smarter, Vol. 5",24,0.459,0.00181,1.0,-39.073,0.0,0.0368,0.959,0.978,0.176,0.0793,79.937,120059.0,3.0
2762,2OZ52hssOzwJXWrrMjozZF,Einstein Study Music Academy,Studying Piano Music,"Studying Music: Piano Music to Make You Smarter, Vol. 5",22,0.593,0.00734,8.0,-37.985,0.0,0.0485,0.974,0.906,0.0782,0.089,100.006,147069.0,4.0
2763,4Cw7B2rydtrpzea1iwB1C5,Einstein Study Music Academy,Piano for Reading Music,"Studying Music: Piano Music to Make You Smarter, Vol. 5",22,0.555,0.00225,2.0,-36.994,1.0,0.049,0.981,0.803,0.0652,0.118,80.013,174811.0,4.0
2764,61AveC4f6zKX9uyAej4Ubz,Einstein Study Music Academy,Improve Concentration,"Studying Music: Piano Music to Make You Smarter, Vol. 5",22,0.32,0.00238,11.0,-39.777,1.0,0.0556,0.992,0.941,0.0907,0.0702,149.812,119275.0,4.0
2765,0BQsN3thuHyDxF5wJSKU8k,Einstein Study Music Academy,Improve Memory,"Studying Music: Piano Music to Make You Smarter, Vol. 5",21,0.242,0.000693,0.0,-40.638,1.0,0.0506,0.988,0.903,0.0666,0.503,75.681,131762.0,1.0
2766,5zBU8s4hRyiP1BwB0VNdmF,Einstein Study Music Academy,Reduce Stress,"Studying Music: Piano Music to Make You Smarter, Vol. 5",22,0.563,0.00175,7.0,-39.332,0.0,0.0461,0.988,0.965,0.0672,0.416,82.019,119327.0,4.0
2767,0FSGsYVDei2ZD0H0qrZuRI,Einstein Study Music Academy,Piano Music for Concentration,"Studying Music: Piano Music to Make You Smarter, Vol. 5",21,0.535,0.00252,4.0,-37.706,1.0,0.0447,0.869,0.661,0.104,0.143,140.298,113633.0,4.0
2768,6YuFNLKtK6IKzXQz5uS6be,Einstein Study Music Academy,Music for Stress Relief and Studying,"Studying Music: Piano Music to Make You Smarter, Vol. 5",22,0.407,0.0017,0.0,-38.289,1.0,0.0631,0.996,0.95,0.0894,0.428,130.076,120999.0,4.0
2769,3cGs4zViSY2U04SN5mB7Tz,Einstein Study Music Academy,Deep Study Music for Exams and Graduation,"Studying Music: Piano Music to Make You Smarter, Vol. 5",21,0.393,0.00174,2.0,-42.147,0.0,0.0422,0.827,0.482,0.109,0.0866,79.887,147069.0,4.0
